TITLE="Layer_3"
VARIABLES="Time [s]"
"Flow Rate IN [m^3/s]"
"Flow Rate OUT [m^3/s]"
"Net Flow Rate [m^3/s]"
"Net Cumulated Volume [m^3]"
ZONE T="Flow Budget Zone#3"
 0.1080000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1110000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1140000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1170000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1200000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1230000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1260000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1290000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1320000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1350000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1380000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1410000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1440000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1470000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1500000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1530000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1560000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1590000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1620000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1650000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1680000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1710000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1740000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1770000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1800000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1830000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1860000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1890000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1920000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1950000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.1980000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2010000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2040000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2070000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2100000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2130000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2160000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2190000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2220000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2250000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2280000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2310000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2340000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2370000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2400000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2430000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2460000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2490000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2520000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2550000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2580000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2610000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2640000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2670000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2700000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2730000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2760000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2790000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2820000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2850000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2880000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2910000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2940000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.2970000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3000000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3030000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3060000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3090000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3120000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3150000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3180000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3210000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3240000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3270000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3300000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3330000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3360000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3390000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3420000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3450000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3480000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3510000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3540000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3570000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3600000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3630000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3660000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3690000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3720000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3750000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3780000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3810000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3840000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3870000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3900000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3930000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3960000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.3990000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4020000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4050000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4080000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4110000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4140000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4170000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4200000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4230000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4260000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4290000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
 0.4320000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.8698251414925720E-01
